Date,BTC,Energy,GPR,,,
2022/07/19,0.087758167,-0.09604834,-0.180303198,,,
2022/07/20,0.07854783,-0.117779864,0.107503982,,,
2022/07/21,0.083201711,0.058621998,0.04795554,,,
2022/07/22,0.230695841,0.377277621,0.044948073,,,
2022/07/23,0.583580258,0.720354806,0.055995824,,,
2022/07/24,0.585639312,0.877521886,0.01357823,,,
2022/07/25,0.247720889,0.854209784,0.008675852,,,
2022/07/26,0.354358957,0.895639418,0.071228303,,,
2022/07/27,0.28979094,0.644870208,0.321724019,,,
2022/07/28,0.143555001,0.992192929,0.398750255,,,
2022/07/29,0.157634821,0.885806672,0.207614285,,,
2022/07/30,0.198293139,1.111172064,-0.041548148,,,
2022/07/31,0.288531924,1.095467721,0.086352215,,,
2022/08/01,0.28874551,1.084553983,0.420108988,,,
2022/08/02,0.248596673,1.067106711,0.584792565,,,
2022/08/03,0.577271221,0.816798936,0.776041704,,,
2022/08/04,0.557100333,-0.15417175,0.946567934,,,
2022/08/05,0.457064007,0.018135936,0.928693116,,,
2022/08/06,0.822192198,0.198741529,1.216476953,,,
2022/08/07,0.803984969,0.190719955,1.217193043,,,
2022/08/08,0.643725007,0.196169088,1.413510759,,,
2022/08/09,0.724708469,0.039981935,1.75229326,,,
2022/08/10,0.84825532,0.001712788,1.056845828,,,
2022/08/11,1.119602125,-0.045324731,0.662483631,,,
2022/08/12,1.503689166,-0.049749834,0.811553076,,,
2022/08/13,1.612777803,0.218874987,0.469185563,,,
2022/08/14,1.667396546,0.494096044,0.503092957,,,
2022/08/15,1.75184279,0.505503213,0.947712341,,,
2022/08/16,1.853859527,0.573164607,0.908325282,,,
2022/08/17,1.86410897,0.614462257,0.597044803,,,
2022/08/18,2.536309931,0.683149463,0.350970657,,,
2022/08/19,3.881805274,0.752676232,0.306429682,,,
2022/08/20,3.794891338,1.061498255,0.201065716,,,
2022/08/21,3.835078841,1.096543273,-0.011784493,,,
2022/08/22,3.875089175,1.25852054,-0.037737109,,,
2022/08/23,3.877263801,1.021641218,-0.136761422,,,
2022/08/24,5.256909101,1.088118061,-0.227183757,,,
2022/08/25,5.217873538,1.019942259,-0.22155291,,,
2022/08/26,5.525855535,1.369555134,-0.329101133,,,
2022/08/27,6.52873081,1.363064006,-0.310945377,,,
2022/08/28,6.149877617,1.514723298,-0.181840941,,,
2022/08/29,5.355545161,1.537764917,0.068028759,,,
2022/08/30,5.065059336,1.054045238,0.067788595,,,
2022/08/31,4.957712094,0.803691795,0.026423267,,,
2022/09/01,5.088624174,0.472266086,-0.029644406,,,
2022/09/02,5.069102075,0.490951412,-0.196782649,,,
2022/09/03,5.097673999,0.939975548,-0.315800844,,,
2022/09/04,5.61083516,1.104560637,-0.467873818,,,
2022/09/05,5.70392373,1.11493409,-0.495213239,,,
2022/09/06,4.388807528,0.789997773,-0.554767756,,,
2022/09/07,4.476041166,0.573316332,-0.477737914,,,
2022/09/08,4.91876426,0.80852938,-0.414307472,,,
2022/09/09,3.966928793,0.459398872,-0.799211329,,,
2022/09/10,3.887576206,0.853803594,-0.656554858,,,
2022/09/11,4.019374604,0.808694687,-0.587333903,,,
2022/09/12,3.729444911,0.824610783,-0.591909725,,,
2022/09/13,2.547331509,0.454632963,-0.620748249,,,
2022/09/14,2.55989951,0.16993477,-0.767056874,,,
2022/09/15,2.412071621,-0.12419398,-0.78342048,,,
2022/09/16,2.539286475,-0.316058706,-0.703059895,,,
2022/09/17,2.467767214,-0.084564356,-0.551625911,,,
2022/09/18,2.877900376,-0.083718842,-0.705653533,,,
2022/09/19,2.928860336,-0.083668338,-0.762562501,,,
2022/09/20,2.66784313,-0.124598554,-0.641600288,,,
2022/09/21,2.573930091,-0.248287817,-0.779540796,,,
2022/09/22,2.066080794,-0.375783727,-0.70429163,,,
2022/09/23,2.066789267,4.965691103,-0.631612535,,,
2022/09/24,1.997216328,4.971059434,-0.692597755,,,
2022/09/25,2.837820322,4.99496122,-0.736575627,,,
2022/09/26,2.714118143,4.908274757,-0.711854024,,,
2022/09/27,2.857111257,4.726408871,-0.666140182,,,
2022/09/28,3.152416008,3.595762433,-0.703341215,,,
2022/09/29,3.365627848,4.544563809,-0.754036687,,,
2022/09/30,3.40925689,4.840816706,-0.732410303,,,
2022/10/01,3.399739223,4.976360012,-0.551064214,,,
2022/10/02,3.346471502,5.011003216,-0.527606305,,,
2022/10/03,3.039612559,4.607479404,-0.412306547,,,
2022/10/04,2.652995074,3.284854569,-0.272114468,,,
2022/10/05,2.653361552,3.112039612,-0.196276336,,,
2022/10/06,3.375590112,3.348637236,-0.082355763,,,
2022/10/07,3.42750772,3.538187656,-0.227633545,,,
2022/10/08,3.410750323,3.507594171,-0.168894607,,,
2022/10/09,4.034387,4.010232232,-0.282293576,,,
2022/10/10,3.998066265,4.014912181,-0.465048996,,,
2022/10/11,3.994344207,3.790889829,-0.449525033,,,
2022/10/12,4.45646663,3.82761533,-0.296010898,,,
2022/10/13,-0.107032446,3.235339234,-0.368538757,,,
2022/10/14,-0.155547837,2.891829145,-0.195141578,,,
